,step,Validation/Accuracy_agri,Validation/Accuracy_barrenland,Validation/Accuracy_grassland,Validation/Accuracy_urban,epoch,lr-Adam,train_accuracy_epoch,train_accuracy_step,train_loss_epoch,train_loss_step,val_accuracy,val_loss
39,379,,,,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,,"[0.9375, 0.9375, 0.875, 1.0, 1.0, 1.0, 1.0]",,"[0.23036013543605804, 0.07387348264455795, 0.25394415855407715, 0.02543029561638832, 0.0497734360396862, 0.05082397535443306, 0.012336064130067825]",,
40,389,,,,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,,"[1.0, 0.9375, 1.0, 0.9375, 1.0, 1.0, 1.0]",,"[0.0466800257563591, 0.07678110152482986, 0.014168262481689453, 0.22246599197387695, 0.0671144425868988, 0.009137049317359924, 0.003092002123594284]",,
41,399,"[0.9755799770355225, 0.8350383639335632, 0.9960681796073914, 0.8564356565475464, 0.9851484894752502, 0.9960681796073914, 0.9817296266555786]","[0.9949495196342468, 0.988916277885437, 0.9950920343399048, 0.9936708807945251, 0.9948586225509644, 0.9878787994384766, 0.9878197312355042]","[0.9884615540504456, 0.970695972442627, 0.988875150680542, 0.9072039127349854, 0.9890244007110596, 0.9876695275306702, 0.9919571280479431]","[0.9876390695571899, 0.9961880445480347, 0.9975399971008301, 0.9910600185394287, 0.994962215423584, 0.995006263256073, 0.9987684488296509]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.9646875262260437, 0.9372656345367432, 0.9889843463897705, 0.967968761920929, 0.9853906035423279, 0.9763281345367432, 0.9822656512260437]","[1.0, 1.0, 0.96875, 1.0, 0.96875, 0.96875, 1.0]","[0.10992074012756348, 0.24100512266159058, 0.03797876834869385, 0.103927381336689, 0.04707544669508934, 0.07534244656562805, 0.05084201693534851]","[0.03788409009575844, 0.1071934700012207, 0.11383761465549469, 0.06644387543201447, 0.06649092584848404, 0.057019513100385666, 0.0014104247093200684]","[0.9865624904632568, 0.948437511920929, 0.9943749904632568, 0.9362499713897705, 0.9909374713897705, 0.9915624856948853, 0.9900000095367432]","[0.04868076741695404, 0.20339077711105347, 0.017499461770057678, 0.18942521512508392, 0.028594564646482468, 0.03961751237511635, 0.032603394240140915]"
42,400,,,,,,"[9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05]",,,,,,
43,409,,,,,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.96875, 1.0]",,"[0.033918194472789764, 0.01507851853966713, 0.01095268502831459, 0.01469852402806282, 0.029876578599214554, 0.06919967383146286, 0.08498311042785645]",,
44,419,,,,,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",,,"[0.9375, 0.90625, 0.9375, 1.0, 1.0, 1.0, 1.0]",,"[0.09545040130615234, 0.28127574920654297, 0.1623917520046234, 0.0033990517258644104, 0.06593707203865051, 0.005314946174621582, 0.020428676158189774]",,
45,429,,,,,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",,,"[0.9375, 1.0, 1.0, 0.96875, 0.90625, 0.9375, 1.0]",,"[0.15141762793064117, 0.0006272941827774048, 0.02189493179321289, 0.1451595425605774, 0.18705707788467407, 0.20539379119873047, 0.0015811324119567871]",,
46,439,,,,,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",,,"[0.96875, 1.0, 0.9375, 0.96875, 0.90625, 1.0, 0.96875]",,"[0.040203504264354706, 0.027860045433044434, 0.08756493031978607, 0.08836328238248825, 0.29430127143859863, 0.003742605447769165, 0.07460400462150574]",,
47,449,,,,,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",,,"[1.0, 1.0, 1.0, 0.9375, 1.0, 1.0, 0.96875]",,"[0.024849366396665573, 0.0012821182608604431, 0.005575031042098999, 0.14905855059623718, 0.10784709453582764, 0.02499581128358841, 0.11750610172748566]",,
48,459,,,,,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",,,"[1.0, 1.0, 0.96875, 0.9375, 1.0, 1.0, 1.0]",,"[0.013108395040035248, 0.003266558051109314, 0.13369420170783997, 0.1361687183380127, 0.005832463502883911, 0.0060682035982608795, 0.01787971705198288]",,
49,469,,,,,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",,,"[1.0, 1.0, 1.0, 0.96875, 1.0, 1.0, 0.90625]",,"[0.0003300569951534271, 0.004316836595535278, 0.0012361109256744385, 0.12818577885627747, 0.011638913303613663, 0.009112108498811722, 0.23370051383972168]",,
50,479,,,,,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.90625]",,"[0.028903204947710037, 0.008509982377290726, 0.0015180185437202454, 0.012334533035755157, 0.012827392667531967, 0.000726599246263504, 0.22244763374328613]",,
51,489,,,,,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",,,"[1.0, 1.0, 0.90625, 1.0, 0.90625, 1.0, 1.0]",,"[0.011919926851987839, 0.004683788865804672, 0.2585892677307129, 0.010723955929279327, 0.11230263113975525, 0.001326095312833786, 0.08824262022972107]",,
52,499,,,,,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.96875, 0.96875]",,"[0.025866840034723282, 0.008797138929367065, 0.011171262711286545, 0.007547333836555481, 0.0017071664333343506, 0.1012306958436966, 0.17079544067382812]",,
53,509,,,,,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",,,"[1.0, 1.0, 1.0, 0.96875, 1.0, 1.0, 0.96875]",,"[0.0056060366332530975, 0.0036568865180015564, 0.02394692972302437, 0.05177229642868042, 0.07672739028930664, 0.0030868835747241974, 0.058941300958395004]",,
54,519,,,,,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",,,"[1.0, 1.0, 1.0, 1.0, 0.96875, 1.0, 1.0]",,"[0.008907996118068695, 0.0549154169857502, 0.014741580933332443, 0.012913770973682404, 0.12602996826171875, 0.01440659910440445, 0.0072034671902656555]",,
55,529,,,,,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.030570458620786667, 0.005438033491373062, 0.010426845401525497, 0.01485956460237503, 0.041152000427246094, 0.022100307047367096, 0.001591067761182785]",,
56,539,,,,,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.96875]",,"[0.00859580934047699, 0.029364004731178284, 0.004370328038930893, 0.003068476915359497, 0.019275426864624023, 0.01028895378112793, 0.11717641353607178]",,
57,549,,,,,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",,,"[1.0, 1.0, 1.0, 1.0, 0.96875, 0.96875, 0.96875]",,"[0.014840196818113327, 0.00916019082069397, 0.05638396739959717, 0.0022988170385360718, 0.118123859167099, 0.09459339082241058, 0.05936257168650627]",,
58,559,,,,,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.96875, 1.0]",,"[0.00029063597321510315, 0.028266340494155884, 0.006648439913988113, 0.028986528515815735, 0.04471635818481445, 0.13371573388576508, 0.00205056369304657]",,
59,569,,,,,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",,,"[1.0, 1.0, 0.96875, 0.96875, 1.0, 1.0, 1.0]",,"[0.0029015913605690002, 0.006784774363040924, 0.10628056526184082, 0.04868968203663826, 0.004583094269037247, 0.00025479868054389954, 0.008619014173746109]",,
60,579,,,,,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",,,"[1.0, 1.0, 1.0, 0.9375, 1.0, 1.0, 1.0]",,"[0.001239083707332611, 0.011185944080352783, 0.06005275249481201, 0.07492031902074814, 0.004170488566160202, 0.024326059967279434, 0.024625509977340698]",,
61,589,,,,,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",,,"[0.9375, 0.96875, 0.9375, 1.0, 0.90625, 1.0, 0.96875]",,"[0.0717327892780304, 0.11254572868347168, 0.07123279571533203, 0.023041874170303345, 0.16116416454315186, 0.00112108513712883, 0.05485473573207855]",,
62,599,"[0.9764851331710815, 0.9671132564544678, 0.9973787665367126, 0.9882044792175293, 0.9104859232902527, 0.980463981628418, 0.9900990128517151]","[0.9329113960266113, 0.9963459372520447, 0.9987729787826538, 1.0, 0.8990147709846497, 1.0, 0.9974293112754822]","[0.9743589758872986, 0.9973190426826477, 0.9975278377532959, 0.9864364862442017, 0.8534798622131348, 0.9948717951774597, 0.9987804889678955]","[0.992337167263031, 0.9987684488296509, 0.998769998550415, 0.995006263256073, 0.9974586963653564, 0.9925834536552429, 0.992443323135376]","[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",,"[0.986328125, 0.993359386920929, 0.994921863079071, 0.9850000143051147, 0.9553906321525574, 0.9840624928474426, 0.9935937523841858]","[1.0, 0.96875, 0.96875, 0.90625, 0.96875, 1.0, 1.0]","[0.039744433015584946, 0.024099232628941536, 0.018798837438225746, 0.046415992081165314, 0.15850387513637543, 0.05450708419084549, 0.022379225119948387]","[0.0020383261144161224, 0.1750321090221405, 0.048296548426151276, 0.21602550148963928, 0.12785369157791138, 0.022029533982276917, 0.007326360791921616]","[0.9690625071525574, 0.9896875023841858, 0.9981250166893005, 0.9925000071525574, 0.9143750071525574, 0.9918749928474426, 0.9946874976158142]","[0.09370983392000198, 0.02711757831275463, 0.010955282486975193, 0.041252490133047104, 0.2477986216545105, 0.032442718744277954, 0.017345281317830086]"
63,600,,,,,,"[9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05]",,,,,,
64,609,,,,,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",,,"[1.0, 1.0, 0.96875, 0.875, 1.0, 1.0, 1.0]",,"[0.010760661214590073, 0.005785595625638962, 0.05272525176405907, 0.32855224609375, 0.029908206313848495, 0.0020120032131671906, 0.03266880661249161]",,
65,619,,,,,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",,,"[0.96875, 1.0, 1.0, 0.96875, 1.0, 1.0, 1.0]",,"[0.21505418419837952, 0.00318107008934021, 0.00023961439728736877, 0.08858823776245117, 0.042582493275403976, 0.004836387932300568, 0.001080099493265152]",,
66,629,,,,,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",,,"[0.9375, 0.9375, 1.0, 1.0, 0.96875, 1.0, 1.0]",,"[0.06962219625711441, 0.13955095410346985, 0.023487847298383713, 0.0008301921188831329, 0.05842604488134384, 0.07560646533966064, 0.018639251589775085]",,
67,639,,,,,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",,,"[0.96875, 1.0, 0.96875, 1.0, 1.0, 0.9375, 1.0]",,"[0.0795513391494751, 0.0008045323193073273, 0.06499598920345306, 0.00926882028579712, 0.003328874707221985, 0.22328387200832367, 0.0028888843953609467]",,
68,649,,,,,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",,,"[1.0, 0.96875, 1.0, 0.96875, 1.0, 1.0, 1.0]",,"[0.0035534538328647614, 0.07354855537414551, 0.01647401601076126, 0.10140509158372879, 0.0013161003589630127, 0.005297616124153137, 0.02171853929758072]",,
69,659,,,,,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",,,"[0.96875, 1.0, 0.96875, 1.0, 1.0, 1.0, 1.0]",,"[0.04740065708756447, 0.01606333628296852, 0.08154675364494324, 0.030558522790670395, 0.0056793540716171265, 0.013023611158132553, 0.0783466100692749]",,
70,669,,,,,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",,,"[1.0, 1.0, 1.0, 0.96875, 0.9375, 1.0, 0.96875]",,"[0.000865887850522995, 0.013014990836381912, 0.005800254642963409, 0.09001773595809937, 0.152695432305336, 0.005564004182815552, 0.12540394067764282]",,
71,679,,,,,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",,,"[1.0, 0.96875, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.011944439262151718, 0.04707036539912224, 0.012091193348169327, 0.033312100917100906, 0.0015358701348304749, 0.0013924837112426758, 0.0638422966003418]",,
72,689,,,,,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",,,"[0.96875, 0.96875, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.1239933967590332, 0.05505567789077759, 0.011232677847146988, 0.0016371794044971466, 0.003153987228870392, 0.025666438043117523, 0.030419103801250458]",,
